degree_age_range,state,degree,age_range,estimate,margin_of_error
25_to_39_years_Business,Oklahoma,Business,25_to_39_years,63298,2987
25_to_39_years_Education,Oklahoma,Education,25_to_39_years,44919,1047
25_to_39_years_Literature_and_Languages,Oklahoma,Literature_and_Languages,25_to_39_years,43738,5079
25_to_39_years_Liberal_Arts_and_History,Oklahoma,Liberal_Arts_and_History,25_to_39_years,47360,7984
25_to_39_years_Visual_and_Performing_Arts,Oklahoma,Visual_and_Performing_Arts,25_to_39_years,39384,3478
25_to_39_years_Communications,Oklahoma,Communications,25_to_39_years,53798,6823
25_to_39_years_Other,Oklahoma,Other,25_to_39_years,49385,3019
40_to_64_years_40_to_64_years,Oklahoma,40_to_64_years,40_to_64_years,66035,1495
40_to_64_years_Computers_Mathematics_and_Statistics,Oklahoma,Computers_Mathematics_and_Statistics,40_to_64_years,91087,12353
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Oklahoma,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,91341,6479
40_to_64_years_Physical_and_Related_Sciences,Oklahoma,Physical_and_Related_Sciences,40_to_64_years,80215,14177
40_to_64_years_Psychology,Oklahoma,Psychology,40_to_64_years,56364,4035
40_to_64_years_Social_Sciences,Oklahoma,Social_Sciences,40_to_64_years,66622,6350
40_to_64_years_Engineering,Oklahoma,Engineering,40_to_64_years,100654,7061
40_to_64_years_Multidisciplinary_Studies,Oklahoma,Multidisciplinary_Studies,40_to_64_years,71952,20139
40_to_64_years_Science_and_Engineering_Related_Fields,Oklahoma,Science_and_Engineering_Related_Fields,40_to_64_years,75650,3364
40_to_64_years_Business,Oklahoma,Business,40_to_64_years,74644,3068
40_to_64_years_Education,Oklahoma,Education,40_to_64_years,50820,1206
40_to_64_years_Literature_and_Languages,Oklahoma,Literature_and_Languages,40_to_64_years,62124,10702
40_to_64_years_Liberal_Arts_and_History,Oklahoma,Liberal_Arts_and_History,40_to_64_years,58840,4994
40_to_64_years_Visual_and_Performing_Arts,Oklahoma,Visual_and_Performing_Arts,40_to_64_years,50763,2305
40_to_64_years_Communications,Oklahoma,Communications,40_to_64_years,55740,5339
40_to_64_years_Other,Oklahoma,Other,40_to_64_years,58590,4252
Total,Oregon,Total,Total,73160,1245
25_to_39_years_25_to_39_years,Oregon,25_to_39_years,25_to_39_years,63039,1340
25_to_39_years_Computers_Mathematics_and_Statistics,Oregon,Computers_Mathematics_and_Statistics,25_to_39_years,94081,7475
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Oregon,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,62765,4181
25_to_39_years_Physical_and_Related_Sciences,Oregon,Physical_and_Related_Sciences,25_to_39_years,86710,9575
25_to_39_years_Psychology,Oregon,Psychology,25_to_39_years,57594,4104
25_to_39_years_Social_Sciences,Oregon,Social_Sciences,25_to_39_years,61030,4389
25_to_39_years_Engineering,Oregon,Engineering,25_to_39_years,98137,6339
25_to_39_years_Multidisciplinary_Studies,Oregon,Multidisciplinary_Studies,25_to_39_years,53072,10605
25_to_39_years_Science_and_Engineering_Related_Fields,Oregon,Science_and_Engineering_Related_Fields,25_to_39_years,71768,5644
25_to_39_years_Business,Oregon,Business,25_to_39_years,71183,4776
25_to_39_years_Education,Oregon,Education,25_to_39_years,49084,5079
25_to_39_years_Literature_and_Languages,Oregon,Literature_and_Languages,25_to_39_years,51999,6634
25_to_39_years_Liberal_Arts_and_History,Oregon,Liberal_Arts_and_History,25_to_39_years,52768,2676
25_to_39_years_Visual_and_Performing_Arts,Oregon,Visual_and_Performing_Arts,25_to_39_years,44806,4942
25_to_39_years_Communications,Oregon,Communications,25_to_39_years,55110,7658
25_to_39_years_Other,Oregon,Other,25_to_39_years,57246,7187
40_to_64_years_40_to_64_years,Oregon,40_to_64_years,40_to_64_years,81531,1340
40_to_64_years_Computers_Mathematics_and_Statistics,Oregon,Computers_Mathematics_and_Statistics,40_to_64_years,101510,7315
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Oregon,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,91532,8623
40_to_64_years_Physical_and_Related_Sciences,Oregon,Physical_and_Related_Sciences,40_to_64_years,102933,7090
40_to_64_years_Psychology,Oregon,Psychology,40_to_64_years,68854,6715
40_to_64_years_Social_Sciences,Oregon,Social_Sciences,40_to_64_years,79154,3562
40_to_64_years_Engineering,Oregon,Engineering,40_to_64_years,124042,5310
40_to_64_years_Multidisciplinary_Studies,Oregon,Multidisciplinary_Studies,40_to_64_years,57009,12852
40_to_64_years_Science_and_Engineering_Related_Fields,Oregon,Science_and_Engineering_Related_Fields,40_to_64_years,87492,4386
40_to_64_years_Business,Oregon,Business,40_to_64_years,86458,4438
40_to_64_years_Education,Oregon,Education,40_to_64_years,68509,6427
40_to_64_years_Literature_and_Languages,Oregon,Literature_and_Languages,40_to_64_years,76951,6023
40_to_64_years_Liberal_Arts_and_History,Oregon,Liberal_Arts_and_History,40_to_64_years,69119,7901
40_to_64_years_Visual_and_Performing_Arts,Oregon,Visual_and_Performing_Arts,40_to_64_years,54760,10726
40_to_64_years_Communications,Oregon,Communications,40_to_64_years,80407,9138
40_to_64_years_Other,Oregon,Other,40_to_64_years,61476,7691
Total,Pennsylvania,Total,Total,72804,682
25_to_39_years_25_to_39_years,Pennsylvania,25_to_39_years,25_to_39_years,64121,668
25_to_39_years_Computers_Mathematics_and_Statistics,Pennsylvania,Computers_Mathematics_and_Statistics,25_to_39_years,84555,4220
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Pennsylvania,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,63415,1506
25_to_39_years_Physical_and_Related_Sciences,Pennsylvania,Physical_and_Related_Sciences,25_to_39_years,59998,2961
25_to_39_years_Psychology,Pennsylvania,Psychology,25_to_39_years,50145,3367
25_to_39_years_Social_Sciences,Pennsylvania,Social_Sciences,25_to_39_years,67811,4060
25_to_39_years_Engineering,Pennsylvania,Engineering,25_to_39_years,87859,4480
25_to_39_years_Multidisciplinary_Studies,Pennsylvania,Multidisciplinary_Studies,25_to_39_years,55549,4015
25_to_39_years_Science_and_Engineering_Related_Fields,Pennsylvania,Science_and_Engineering_Related_Fields,25_to_39_years,68869,2020
25_to_39_years_Business,Pennsylvania,Business,25_to_39_years,73064,2052
25_to_39_years_Education,Pennsylvania,Education,25_to_39_years,57412,1762
25_to_39_years_Literature_and_Languages,Pennsylvania,Literature_and_Languages,25_to_39_years,54029,2449
25_to_39_years_Liberal_Arts_and_History,Pennsylvania,Liberal_Arts_and_History,25_to_39_years,54241,3438
25_to_39_years_Visual_and_Performing_Arts,Pennsylvania,Visual_and_Performing_Arts,25_to_39_years,45075,3364
25_to_39_years_Communications,Pennsylvania,Communications,25_to_39_years,60062,4084
25_to_39_years_Other,Pennsylvania,Other,25_to_39_years,56004,1817
40_to_64_years_40_to_64_years,Pennsylvania,40_to_64_years,40_to_64_years,82058,929
40_to_64_years_Computers_Mathematics_and_Statistics,Pennsylvania,Computers_Mathematics_and_Statistics,40_to_64_years,103198,3461
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Pennsylvania,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,96968,7370
40_to_64_years_Physical_and_Related_Sciences,Pennsylvania,Physical_and_Related_Sciences,40_to_64_years,102760,5092
40_to_64_years_Psychology,Pennsylvania,Psychology,40_to_64_years,69853,4451
40_to_64_years_Social_Sciences,Pennsylvania,Social_Sciences,40_to_64_years,82563,4475
40_to_64_years_Engineering,Pennsylvania,Engineering,40_to_64_years,123443,4734
40_to_64_years_Multidisciplinary_Studies,Pennsylvania,Multidisciplinary_Studies,40_to_64_years,75396,16353
40_to_64_years_Science_and_Engineering_Related_Fields,Pennsylvania,Science_and_Engineering_Related_Fields,40_to_64_years,84781,2855
40_to_64_years_Business,Pennsylvania,Business,40_to_64_years,86731,2821
40_to_64_years_Education,Pennsylvania,Education,40_to_64_years,70867,1645
40_to_64_years_Literature_and_Languages,Pennsylvania,Literature_and_Languages,40_to_64_years,71625,5940
40_to_64_years_Liberal_Arts_and_History,Pennsylvania,Liberal_Arts_and_History,40_to_64_years,70242,4904
40_to_64_years_Visual_and_Performing_Arts,Pennsylvania,Visual_and_Performing_Arts,40_to_64_years,63817,3486
40_to_64_years_Communications,Pennsylvania,Communications,40_to_64_years,72927,4663
40_to_64_years_Other,Pennsylvania,Other,40_to_64_years,73010,2483
Total,Rhode_Island,Total,Total,75526,3256
25_to_39_years_25_to_39_years,Rhode_Island,25_to_39_years,25_to_39_years,63571,2321
25_to_39_years_Computers_Mathematics_and_Statistics,Rhode_Island,Computers_Mathematics_and_Statistics,25_to_39_years,64234,11482
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Rhode_Island,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,69073,13029
25_to_39_years_Physical_and_Related_Sciences,Rhode_Island,Physical_and_Related_Sciences,25_to_39_years,92952,12090
25_to_39_years_Psychology,Rhode_Island,Psychology,25_to_39_years,39968,10529
25_to_39_years_Social_Sciences,Rhode_Island,Social_Sciences,25_to_39_years,70193,16832
25_to_39_years_Engineering,Rhode_Island,Engineering,25_to_39_years,82606,8201
25_to_39_years_Multidisciplinary_Studies,Rhode_Island,Multidisciplinary_Studies,25_to_39_years,64338,45145
25_to_39_years_Science_and_Engineering_Related_Fields,Rhode_Island,Science_and_Engineering_Related_Fields,25_to_39_years,65785,5793
25_to_39_years_Business,Rhode_Island,Business,25_to_39_years,78833,8881
25_to_39_years_Education,Rhode_Island,Education,25_to_39_years,59315,6360
25_to_39_years_Literature_and_Languages,Rhode_Island,Literature_and_Languages,25_to_39_years,56410,5324
25_to_39_years_Liberal_Arts_and_History,Rhode_Island,Liberal_Arts_and_History,25_to_39_years,62780,31445
25_to_39_years_Visual_and_Performing_Arts,Rhode_Island,Visual_and_Performing_Arts,25_to_39_years,43802,7541
25_to_39_years_Communications,Rhode_Island,Communications,25_to_39_years,55182,12780
25_to_39_years_Other,Rhode_Island,Other,25_to_39_years,60016,15191
40_to_64_years_40_to_64_years,Rhode_Island,40_to_64_years,40_to_64_years,87886,2915
40_to_64_years_Computers_Mathematics_and_Statistics,Rhode_Island,Computers_Mathematics_and_Statistics,40_to_64_years,87818,15156
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Rhode_Island,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,103616,14749
40_to_64_years_Physical_and_Related_Sciences,Rhode_Island,Physical_and_Related_Sciences,40_to_64_years,94573,37168
40_to_64_years_Psychology,Rhode_Island,Psychology,40_to_64_years,73543,10981
40_to_64_years_Social_Sciences,Rhode_Island,Social_Sciences,40_to_64_years,81774,10789
40_to_64_years_Engineering,Rhode_Island,Engineering,40_to_64_years,132070,14426
40_to_64_years_Multidisciplinary_Studies,Rhode_Island,Multidisciplinary_Studies,40_to_64_years,78029,42632
40_to_64_years_Science_and_Engineering_Related_Fields,Rhode_Island,Science_and_Engineering_Related_Fields,40_to_64_years,87469,7651
40_to_64_years_Business,Rhode_Island,Business,40_to_64_years,97314,8679
40_to_64_years_Education,Rhode_Island,Education,40_to_64_years,69852,5460
40_to_64_years_Literature_and_Languages,Rhode_Island,Literature_and_Languages,40_to_64_years,85635,12690
40_to_64_years_Liberal_Arts_and_History,Rhode_Island,Liberal_Arts_and_History,40_to_64_years,73487,14601
40_to_64_years_Visual_and_Performing_Arts,Rhode_Island,Visual_and_Performing_Arts,40_to_64_years,70755,9721
40_to_64_years_Communications,Rhode_Island,Communications,40_to_64_years,72944,13732
40_to_64_years_Other,Rhode_Island,Other,40_to_64_years,86490,16272
Total,South_Carolina,Total,Total,62514,871
25_to_39_years_25_to_39_years,South_Carolina,25_to_39_years,25_to_39_years,54420,1472
25_to_39_years_Computers_Mathematics_and_Statistics,South_Carolina,Computers_Mathematics_and_Statistics,25_to_39_years,65920,4051
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,South_Carolina,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,55554,4876
25_to_39_years_Physical_and_Related_Sciences,South_Carolina,Physical_and_Related_Sciences,25_to_39_years,54861,5928
25_to_39_years_Psychology,South_Carolina,Psychology,25_to_39_years,44515,4695
25_to_39_years_Social_Sciences,South_Carolina,Social_Sciences,25_to_39_years,56854,7473
25_to_39_years_Engineering,South_Carolina,Engineering,25_to_39_years,83040,7287
25_to_39_years_Multidisciplinary_Studies,South_Carolina,Multidisciplinary_Studies,25_to_39_years,44094,9418
25_to_39_years_Science_and_Engineering_Related_Fields,South_Carolina,Science_and_Engineering_Related_Fields,25_to_39_years,58628,5176
25_to_39_years_Business,South_Carolina,Business,25_to_39_years,58865,4104
25_to_39_years_Education,South_Carolina,Education,25_to_39_years,45791,1631
25_to_39_years_Literature_and_Languages,South_Carolina,Literature_and_Languages,25_to_39_years,54153,7211
25_to_39_years_Liberal_Arts_and_History,South_Carolina,Liberal_Arts_and_History,25_to_39_years,52311,3437
25_to_39_years_Visual_and_Performing_Arts,South_Carolina,Visual_and_Performing_Arts,25_to_39_years,40831,3374
25_to_39_years_Communications,South_Carolina,Communications,25_to_39_years,61439,5272
25_to_39_years_Other,South_Carolina,Other,25_to_39_years,52283,3660
40_to_64_years_40_to_64_years,South_Carolina,40_to_64_years,40_to_64_years,69790,2179
40_to_64_years_Computers_Mathematics_and_Statistics,South_Carolina,Computers_Mathematics_and_Statistics,40_to_64_years,84798,13746
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,South_Carolina,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,90836,11049
40_to_64_years_Physical_and_Related_Sciences,South_Carolina,Physical_and_Related_Sciences,40_to_64_years,84244,12987
40_to_64_years_Psychology,South_Carolina,Psychology,40_to_64_years,60645,5337
40_to_64_years_Social_Sciences,South_Carolina,Social_Sciences,40_to_64_years,66456,7904
40_to_64_years_Engineering,South_Carolina,Engineering,40_to_64_years,120752,5224
40_to_64_years_Multidisciplinary_Studies,South_Carolina,Multidisciplinary_Studies,40_to_64_years,52029,9542
40_to_64_years_Science_and_Engineering_Related_Fields,South_Carolina,Science_and_Engineering_Related_Fields,40_to_64_years,80246,5374
40_to_64_years_Business,South_Carolina,Business,40_to_64_years,75127,3315
40_to_64_years_Education,South_Carolina,Education,40_to_64_years,54432,2503
40_to_64_years_Literature_and_Languages,South_Carolina,Literature_and_Languages,40_to_64_years,56518,3541
40_to_64_years_Liberal_Arts_and_History,South_Carolina,Liberal_Arts_and_History,40_to_64_years,67891,7965
40_to_64_years_Visual_and_Performing_Arts,South_Carolina,Visual_and_Performing_Arts,40_to_64_years,50174,6389
40_to_64_years_Communications,South_Carolina,Communications,40_to_64_years,75703,12068
40_to_64_years_Other,South_Carolina,Other,40_to_64_years,58404,5247
Total,South_Dakota,Total,Total,59681,1427
25_to_39_years_25_to_39_years,South_Dakota,25_to_39_years,25_to_39_years,54924,3122
25_to_39_years_Computers_Mathematics_and_Statistics,South_Dakota,Computers_Mathematics_and_Statistics,25_to_39_years,63215,3724
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,South_Dakota,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,56089,7363
25_to_39_years_Physical_and_Related_Sciences,South_Dakota,Physical_and_Related_Sciences,25_to_39_years,59112,28802
25_to_39_years_Psychology,South_Dakota,Psychology,25_to_39_years,41386,2030
25_to_39_years_Social_Sciences,South_Dakota,Social_Sciences,25_to_39_years,49021,29861
25_to_39_years_Engineering,South_Dakota,Engineering,25_to_39_years,60678,17530
25_to_39_years_Multidisciplinary_Studies,South_Dakota,Multidisciplinary_Studies,25_to_39_years,55861,23779
25_to_39_years_Science_and_Engineering_Related_Fields,South_Dakota,Science_and_Engineering_Related_Fields,25_to_39_years,63420,3506
25_to_39_years_Business,South_Dakota,Business,25_to_39_years,64860,10303
25_to_39_years_Education,South_Dakota,Education,25_to_39_years,48573,2178
25_to_39_years_Literature_and_Languages,South_Dakota,Literature_and_Languages,25_to_39_years,39958,17045
25_to_39_years_Liberal_Arts_and_History,South_Dakota,Liberal_Arts_and_History,25_to_39_years,49348,14007
25_to_39_years_Visual_and_Performing_Arts,South_Dakota,Visual_and_Performing_Arts,25_to_39_years,37160,11813
25_to_39_years_Communications,South_Dakota,Communications,25_to_39_years,53159,15876
25_to_39_years_Other,South_Dakota,Other,25_to_39_years,51071,3610
40_to_64_years_40_to_64_years,South_Dakota,40_to_64_years,40_to_64_years,63338,2271
40_to_64_years_Computers_Mathematics_and_Statistics,South_Dakota,Computers_Mathematics_and_Statistics,40_to_64_years,90707,46665
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,South_Dakota,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,78270,13353
40_to_64_years_Physical_and_Related_Sciences,South_Dakota,Physical_and_Related_Sciences,40_to_64_years,79286,29182
40_to_64_years_Psychology,South_Dakota,Psychology,40_to_64_years,47386,13646
40_to_64_years_Social_Sciences,South_Dakota,Social_Sciences,40_to_64_years,73693,16402
40_to_64_years_Engineering,South_Dakota,Engineering,40_to_64_years,95403,7879
40_to_64_years_Multidisciplinary_Studies,South_Dakota,Multidisciplinary_Studies,40_to_64_years,70435,75024
40_to_64_years_Science_and_Engineering_Related_Fields,South_Dakota,Science_and_Engineering_Related_Fields,40_to_64_years,83538,10414
40_to_64_years_Business,South_Dakota,Business,40_to_64_years,68141,6634
40_to_64_years_Education,South_Dakota,Education,40_to_64_years,52249,3126
40_to_64_years_Literature_and_Languages,South_Dakota,Literature_and_Languages,40_to_64_years,48617,2562
40_to_64_years_Liberal_Arts_and_History,South_Dakota,Liberal_Arts_and_History,40_to_64_years,59980,24716
40_to_64_years_Visual_and_Performing_Arts,South_Dakota,Visual_and_Performing_Arts,40_to_64_years,33000,27090
40_to_64_years_Communications,South_Dakota,Communications,40_to_64_years,55682,17592
40_to_64_years_Other,South_Dakota,Other,40_to_64_years,54633,9044
Total,Tennessee,Total,Total,63010,739
25_to_39_years_25_to_39_years,Tennessee,25_to_39_years,25_to_39_years,56327,1279
25_to_39_years_Computers_Mathematics_and_Statistics,Tennessee,Computers_Mathematics_and_Statistics,25_to_39_years,72752,6806
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Tennessee,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,53222,2563
25_to_39_years_Physical_and_Related_Sciences,Tennessee,Physical_and_Related_Sciences,25_to_39_years,57404,8813
25_to_39_years_Psychology,Tennessee,Psychology,25_to_39_years,48258,2088
25_to_39_years_Social_Sciences,Tennessee,Social_Sciences,25_to_39_years,62996,4493
25_to_39_years_Engineering,Tennessee,Engineering,25_to_39_years,86751,4097
25_to_39_years_Multidisciplinary_Studies,Tennessee,Multidisciplinary_Studies,25_to_39_years,46877,11912
25_to_39_years_Science_and_Engineering_Related_Fields,Tennessee,Science_and_Engineering_Related_Fields,25_to_39_years,60074,3723
25_to_39_years_Business,Tennessee,Business,25_to_39_years,64779,3872
25_to_39_years_Education,Tennessee,Education,25_to_39_years,48174,2608
25_to_39_years_Literature_and_Languages,Tennessee,Literature_and_Languages,25_to_39_years,51269,7031
25_to_39_years_Liberal_Arts_and_History,Tennessee,Liberal_Arts_and_History,25_to_39_years,50102,7147
25_to_39_years_Visual_and_Performing_Arts,Tennessee,Visual_and_Performing_Arts,25_to_39_years,48301,5684
25_to_39_years_Communications,Tennessee,Communications,25_to_39_years,49153,5783
25_to_39_years_Other,Tennessee,Other,25_to_39_years,51553,3211
40_to_64_years_40_to_64_years,Tennessee,40_to_64_years,40_to_64_years,70572,1323
40_to_64_years_Computers_Mathematics_and_Statistics,Tennessee,Computers_Mathematics_and_Statistics,40_to_64_years,96228,7635
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Tennessee,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,85399,8654
40_to_64_years_Physical_and_Related_Sciences,Tennessee,Physical_and_Related_Sciences,40_to_64_years,99261,14062
40_to_64_years_Psychology,Tennessee,Psychology,40_to_64_years,61298,6302
40_to_64_years_Social_Sciences,Tennessee,Social_Sciences,40_to_64_years,77350,8826
40_to_64_years_Engineering,Tennessee,Engineering,40_to_64_years,107869,6630
40_to_64_years_Multidisciplinary_Studies,Tennessee,Multidisciplinary_Studies,40_to_64_years,46143,19121
40_to_64_years_Science_and_Engineering_Related_Fields,Tennessee,Science_and_Engineering_Related_Fields,40_to_64_years,74889,3561
40_to_64_years_Business,Tennessee,Business,40_to_64_years,75318,3596
40_to_64_years_Education,Tennessee,Education,40_to_64_years,53001,2175
40_to_64_years_Literature_and_Languages,Tennessee,Literature_and_Languages,40_to_64_years,68661,8792
40_to_64_years_Liberal_Arts_and_History,Tennessee,Liberal_Arts_and_History,40_to_64_years,63866,3569
40_to_64_years_Visual_and_Performing_Arts,Tennessee,Visual_and_Performing_Arts,40_to_64_years,53255,7238
40_to_64_years_Communications,Tennessee,Communications,40_to_64_years,63779,4194
40_to_64_years_Other,Tennessee,Other,40_to_64_years,63123,6598
Total,Texas,Total,Total,72154,633
25_to_39_years_25_to_39_years,Texas,25_to_39_years,25_to_39_years,63802,527
25_to_39_years_Computers_Mathematics_and_Statistics,Texas,Computers_Mathematics_and_Statistics,25_to_39_years,82049,2647
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Texas,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,64510,1716
25_to_39_years_Physical_and_Related_Sciences,Texas,Physical_and_Related_Sciences,25_to_39_years,63240,3303
25_to_39_years_Psychology,Texas,Psychology,25_to_39_years,51694,1362
25_to_39_years_Social_Sciences,Texas,Social_Sciences,25_to_39_years,66492,3846
25_to_39_years_Engineering,Texas,Engineering,25_to_39_years,92899,3403
25_to_39_years_Multidisciplinary_Studies,Texas,Multidisciplinary_Studies,25_to_39_years,58294,1251
25_to_39_years_Science_and_Engineering_Related_Fields,Texas,Science_and_Engineering_Related_Fields,25_to_39_years,69641,2677
25_to_39_years_Business,Texas,Business,25_to_39_years,70668,1950
25_to_39_years_Education,Texas,Education,25_to_39_years,55962,1343
25_to_39_years_Literature_and_Languages,Texas,Literature_and_Languages,25_to_39_years,54828,2603
25_to_39_years_Liberal_Arts_and_History,Texas,Liberal_Arts_and_History,25_to_39_years,56822,2865
25_to_39_years_Visual_and_Performing_Arts,Texas,Visual_and_Performing_Arts,25_to_39_years,48392,2902
25_to_39_years_Communications,Texas,Communications,25_to_39_years,59433,1553
25_to_39_years_Other,Texas,Other,25_to_39_years,55659,1974
40_to_64_years_40_to_64_years,Texas,40_to_64_years,40_to_64_years,81519,722
40_to_64_years_Computers_Mathematics_and_Statistics,Texas,Computers_Mathematics_and_Statistics,40_to_64_years,107036,3025
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Texas,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,90163,3998
40_to_64_years_Physical_and_Related_Sciences,Texas,Physical_and_Related_Sciences,40_to_64_years,92281,8462
40_to_64_years_Psychology,Texas,Psychology,40_to_64_years,68788,3245
40_to_64_years_Social_Sciences,Texas,Social_Sciences,40_to_64_years,88573,4008
40_to_64_years_Engineering,Texas,Engineering,40_to_64_years,125522,2678
40_to_64_years_Multidisciplinary_Studies,Texas,Multidisciplinary_Studies,40_to_64_years,65143,2819
40_to_64_years_Science_and_Engineering_Related_Fields,Texas,Science_and_Engineering_Related_Fields,40_to_64_years,85293,1838
40_to_64_years_Business,Texas,Business,40_to_64_years,86917,2304
40_to_64_years_Education,Texas,Education,40_to_64_years,60735,722
40_to_64_years_Literature_and_Languages,Texas,Literature_and_Languages,40_to_64_years,67635,3195
40_to_64_years_Liberal_Arts_and_History,Texas,Liberal_Arts_and_History,40_to_64_years,69789,4043
40_to_64_years_Visual_and_Performing_Arts,Texas,Visual_and_Performing_Arts,40_to_64_years,61250,2539
40_to_64_years_Communications,Texas,Communications,40_to_64_years,75141,4423
40_to_64_years_Other,Texas,Other,40_to_64_years,71669,2666
Total,Utah,Total,Total,71082,1443
25_to_39_years_25_to_39_years,Utah,25_to_39_years,25_to_39_years,61174,1292
25_to_39_years_Computers_Mathematics_and_Statistics,Utah,Computers_Mathematics_and_Statistics,25_to_39_years,82661,4756
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Utah,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,64117,9973
25_to_39_years_Physical_and_Related_Sciences,Utah,Physical_and_Related_Sciences,25_to_39_years,62604,9143
25_to_39_years_Psychology,Utah,Psychology,25_to_39_years,50716,6682
25_to_39_years_Social_Sciences,Utah,Social_Sciences,25_to_39_years,64330,11466
25_to_39_years_Engineering,Utah,Engineering,25_to_39_years,87010,7869
25_to_39_years_Multidisciplinary_Studies,Utah,Multidisciplinary_Studies,25_to_39_years,48663,7304
25_to_39_years_Science_and_Engineering_Related_Fields,Utah,Science_and_Engineering_Related_Fields,25_to_39_years,58801,3324
25_to_39_years_Business,Utah,Business,25_to_39_years,76264,2597
25_to_39_years_Education,Utah,Education,25_to_39_years,49295,3598
25_to_39_years_Literature_and_Languages,Utah,Literature_and_Languages,25_to_39_years,44875,7480
25_to_39_years_Liberal_Arts_and_History,Utah,Liberal_Arts_and_History,25_to_39_years,52720,11177
25_to_39_years_Visual_and_Performing_Arts,Utah,Visual_and_Performing_Arts,25_to_39_years,41914,3570
25_to_39_years_Communications,Utah,Communications,25_to_39_years,59397,7125
25_to_39_years_Other,Utah,Other,25_to_39_years,50782,5053
40_to_64_years_40_to_64_years,Utah,40_to_64_years,40_to_64_years,82087,1714
40_to_64_years_Computers_Mathematics_and_Statistics,Utah,Computers_Mathematics_and_Statistics,40_to_64_years,115496,6554
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Utah,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,106883,14028
40_to_64_years_Physical_and_Related_Sciences,Utah,Physical_and_Related_Sciences,40_to_64_years,89624,13244
40_to_64_years_Psychology,Utah,Psychology,40_to_64_years,73668,11338
40_to_64_years_Social_Sciences,Utah,Social_Sciences,40_to_64_years,83574,8387
40_to_64_years_Engineering,Utah,Engineering,40_to_64_years,120566,8404
40_to_64_years_Multidisciplinary_Studies,Utah,Multidisciplinary_Studies,40_to_64_years,60818,15785
40_to_64_years_Science_and_Engineering_Related_Fields,Utah,Science_and_Engineering_Related_Fields,40_to_64_years,78360,2760
40_to_64_years_Business,Utah,Business,40_to_64_years,93640,5072
40_to_64_years_Education,Utah,Education,40_to_64_years,59116,3264
40_to_64_years_Literature_and_Languages,Utah,Literature_and_Languages,40_to_64_years,77248,14609
40_to_64_years_Liberal_Arts_and_History,Utah,Liberal_Arts_and_History,40_to_64_years,70846,12202
40_to_64_years_Visual_and_Performing_Arts,Utah,Visual_and_Performing_Arts,40_to_64_years,50921,9831
40_to_64_years_Communications,Utah,Communications,40_to_64_years,74048,5626
40_to_64_years_Other,Utah,Other,40_to_64_years,63633,8050
Total,Vermont,Total,Total,63076,1726
25_to_39_years_25_to_39_years,Vermont,25_to_39_years,25_to_39_years,54689,2331
25_to_39_years_Computers_Mathematics_and_Statistics,Vermont,Computers_Mathematics_and_Statistics,25_to_39_years,71870,16320
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Vermont,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,42283,4754
25_to_39_years_Physical_and_Related_Sciences,Vermont,Physical_and_Related_Sciences,25_to_39_years,50299,27911
25_to_39_years_Psychology,Vermont,Psychology,25_to_39_years,63758,10631
25_to_39_years_Social_Sciences,Vermont,Social_Sciences,25_to_39_years,64176,17075
25_to_39_years_Engineering,Vermont,Engineering,25_to_39_years,88997,10843
25_to_39_years_Multidisciplinary_Studies,Vermont,Multidisciplinary_Studies,25_to_39_years,51552,18262
